"id","submitdate","lastpage","startlanguage","seed","G01Q01","G01Q02","G01Q03","G02Q04","G02Q05","G02Q05[other]","G02Q06","G02Q06[other]","G02Q07","G02Q07[other]","G02Q08","G02Q09","G03Q10","G03Q11","G03Q12","G03Q13[1]","G03Q13[2]","G03Q13[3]","G03Q13[4]","G03Q13[5]","G03Q13[6]","G03Q13[7]","G03Q13[8]","G03Q13[9]","G03Q13[10]","G03Q13[11]","G03Q14[1]","G03Q14[2]","G03Q14[3]","G03Q14[4]","G03Q14[5]","G03Q14[6]","G03Q14[7]","G03Q14[8]","G03Q14[9]","G03Q14[10]","G04Q15","G04Q16[1]","G04Q16[2]","G04Q16[3]","G04Q16[4]","G04Q16[5]","G04Q16[6]","G04Q16[7]","G04Q16[8]","G04Q16[9]","G04Q16[10]","G04Q16[11]","G04Q16[12]","G04Q16[13]","G04Q16[14]","G04Q16[15]","G04Q16[16]","G04Q16[17]","G04Q16[18]","G04Q16[19]","G04Q16[20]","G05Q17","G05Q18[1]","G05Q18[2]","G05Q18[3]","G05Q18[4]","G05Q18[5]","G05Q19[1]","G05Q19[2]","G05Q19[3]","G05Q19[4]","G05Q19[5]","G05Q19[6]"
"3","1980-01-01 00:00:00","5","en","420092537","1","1","1","42","1","","4","","4","","IT","consultant","","6","5","7","6","6","5","7","7","7","7","7","7","7","7","7","6","6","7","7","7","7","7","7","","7","6","7","2","7","6","7","7","1","7","1","7","7","7","7","7","1","6","4","4","","6","6","6","6","7","7","7","7","7","7","7"
"4","1980-01-01 00:00:00","5","en","567646740","1","1","1","41","1","","4","","4","","Supply Chain","Performance Manager ","","5","7","6","4","7","5","7","7","7","6","6","5","7","6","4","6","4","5","6","7","6","6","6","","5","1","6","1","2","2","5","6","1","2","1","2","4","6","3","2","1","1","1","1","","6","6","5","7","4","5","6","1","2","5","6"
"5","","","en","1329034534","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","","2","en","1026651489","1","1","1","54","1","","4","","1","","Automotive engineering ","Legal compliance & lifecycle assessment (PCF calculation)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","1980-01-01 00:00:00","5","en","1500877274","1","1","1","55","2","","4","","3","","Public service","Specialist Assistant, Benefits Department, Job Center, under 25 years old","","6","5","4","4","4","4","4","5","7","4","4","4","4","6","6","5","5","5","6","6","6","6","6","","5","5","6","1","4","5","5","6","1","6","1","6","4","7","4","6","1","5","7","4","","5","5","4","6","6","6","6","6","6","6","6"
"8","","","en","1484394091","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","1980-01-01 00:00:00","5","en","908215355","1","1","1","35","2","","4","","4","","Marketing","Brand Manager ","","6","5","6","6","5","5","6","6","6","6","5","5","6","6","5","4","4","5","6","6","6","6","6","","3","6","6","5","5","6","6","6","5","4","5","5","5","6","6","5","5","5","5","5","","5","6","6","6","6","5","6","6","6","6","5"
"10","1980-01-01 00:00:00","5","en","1762395384","1","1","1","50","1","","3","","2","","IT","Director, Senior-Management","","7","7","7","7","7","3","7","6","7","6","4","5","7","5","2","6","5","6","3","5","2","4","5","","6","2","5","1","5","1","4","6","1","5","1","3","2","6","6","5","1","2","3","1","","5","5","6","6","6","3","2","2","2","2","4"
"11","1980-01-01 00:00:00","5","en","1622116021","1","1","1","23","1","","4","","4","","Research &Teaching","Research assistant","","3","4","5","5","6","6","5","5","7","5","5","6","6","5","4","5","5","5","6","5","4","5","5","","4","2","3","1","2","1","2","2","1","2","1","3","1","5","4","1","5","1","1","1","","5","5","6","6","5","2","1","3","1","1","4"
"12","1980-01-01 00:00:00","5","en","1240671329","1","1","1","36","3","","4","","2","","Marketing","manager ","","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","","7","1","7","1","1","1","7","7","1","1","1","1","1","7","7","1","1","1","1","1","","7","7","7","7","7","7","7","6","7","7","7"
